frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,21623998.042992536,1101400
4,43765507.72686963,1604568
8,449333.041527106,248953
16,43327303.57926671,1736610
32,21585054.525850356,1108317
64,44332673.07560434,1794118
128,695558.785645038,414006
256,22728362.095954847,1032908
512,26959929.678205952,1094056
1024,48044036.56959817,1642688
2048,984648.4385027988,601872
4096,1035588.4914950533,509005
8192,59597565.959398866,1671350
16384,16545188.086767735,981070
32768,323738.9064616732,259974
65536,17428811.13606786,1130645
