frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,22365503.680319007,1089539
4,42747059.68709825,1649055
8,43821722.40891755,1701076
16,863770.5395601311,605086
32,21314010.047340482,1085510
64,24063251.348697852,1156411
128,43484438.232714355,1701110
256,863997.5952588063,579742
512,23150883.550242223,1119043
1024,43650499.45353597,1563729
2048,724359.3961632581,472001
4096,1175141.8984450346,414506
8192,28783373.36305265,1091396
16384,38153362.51230174,1648717
32768,17790513.354190093,1156660
65536,62653539.607895784,1486282
