frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,21821977.19109041,1048952
4,291464.4355200133,197676
8,487192.5013903642,436362
16,22294140.212278944,1103573
32,43583076.29355198,1600628
64,22776580.902852036,1072388
128,22545817.125500996,1040071
256,44212081.96407131,1573579
512,45259008.20373212,1699120
1024,43598130.02449876,1735751
2048,43729361.874190174,1653162
4096,480092.1369549808,329510
8192,660864.2747985398,336673
16384,163994.0062624241,94982
32768,418586.7633095915,239752
65536,18679463.547607783,981677
