frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,41395211.77978914,1639704
4,237751.991459588,160411
8,249288.22386346292,160171
16,44346592.68279114,1739804
32,42245233.77847668,1841564
64,133371.91770009158,62322
128,23264928.177345272,1105251
256,22793808.775758516,1043599
512,22078829.8377941,1208931
1024,42687224.03751398,1588705
2048,26014730.630579706,1081544
4096,44181902.76826623,1573648
8192,303071.63289064186,147561
16384,34420729.92276746,1140932
32768,42658852.78870046,1485006
65536,13014368.20600493,1116818
