frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,44323203.87172261,1813483
4,208580.65223313498,137396
8,22991400.08175263,1099859
16,23309602.152071558,1121352
32,784872.4145413699,481463
64,760094.3566137035,581431
128,23962558.54937598,1147112
256,23462357.202129286,1043126
512,1116650.9527117235,604197
1024,21840416.942984216,1149532
2048,21889309.449439812,1085856
4096,629276.7171674159,272306
8192,20332239.54215568,1166135
16384,24722003.173205566,1172218
32768,10282544.279541323,1036549
65536,38737933.959914096,1662734
