frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,43175872.385069154,1737697
4,43680431.994935796,1727826
8,41759715.14022052,1519456
16,452337.41445297224,264223
32,995050.2445384354,554584
64,21212097.28326315,1086367
128,428891.93290851254,278169
256,43070879.786711335,1727596
512,44047076.47784073,1568572
1024,46344583.575879656,1616876
2048,30117892.71589055,1168878
4096,21374737.377534233,1109549
8192,39956567.886293724,1638958
16384,52967313.350011095,1580295
32768,38654119.61026078,1563359
65536,70835341.43728602,1744186
