frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,227639.99406079768,160318
4,20189905.876565743,1043188
8,22456581.967779536,1150668
16,23012233.831373412,1039521
32,470829.6411123667,296535
64,42402263.2355819,1550298
128,22848180.78448919,1163341
256,46014615.19930316,1772291
512,41164111.253081776,1682934
1024,43346755.23177751,1707746
2048,41556448.46014765,1611277
4096,36212213.51049237,1470340
8192,29270087.420294546,1192496
16384,47308599.008519635,1688717
32768,73144200.5223528,1568103
65536,64763025.596236475,1731113
