frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,372822.42204969376,298237
4,22729636.899848312,1132928
8,21098678.32087278,1020356
16,44417076.13544645,1633948
32,489912.7485246735,422996
64,23276210.59657426,1094081
128,21711041.1624695,1277839
256,25004839.06736868,1074758
512,48539697.90857799,1782480
1024,22057664.851629466,1187071
2048,21302996.96417842,1165854
4096,20414836.55064931,1199595
8192,1025844.2730556134,381908
16384,1972795.7372895959,408626
32768,440892.6562225776,262730
65536,12015361.136357782,1041224
