frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,390181.583325,9175.000000,12062.004187
4,282408.665081,7667.000000,10462.489904
8,873486.182290,16868.000000,6983.889604
16,1117761.569510,18928.000000,41509.181779
32,466009.309100,11499.000000,25537.796107
64,771849.373677,16776.000000,13166.123120
128,688895.429214,16082.000000,4944.866227
256,1005252.783244,24440.000000,32564.310019
512,1972171.179007,43418.000000,199205.268708
1024,1401162.796206,24995.000000,33620.805954
2048,538808.266174,11504.000000,150656.607854
4096,450646.670817,9590.000000,138226.747784
8192,796279.261697,17164.000000,164167.837809
16384,3511301.508601,55401.000000,2142914.875318
32768,608840.399799,15624.000000,304595.265129
65536,4703041.569862,77501.000000,1277544.425352
