frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1171736.314731,22393.000000,46427.423954
4,126125.485438,4292.000000,1066.000000
8,119267.017884,4055.000000,475.784615
16,902997.187034,19215.000000,22036.204233
32,490984.285593,13244.000000,3508.712869
64,5510135.623500,103300.000000,25274.076620
128,693685.334833,12287.000000,17449.649080
256,896383.139679,15794.000000,17904.987769
512,5846113.574704,93279.000000,659766.566289
1024,348943.782777,9349.000000,58500.476742
2048,3139002.369325,62710.000000,877220.198142
4096,834593.936419,20764.000000,80092.299386
8192,1347835.966354,22148.000000,440969.116008
16384,1656628.024636,27165.000000,893986.697446
32768,2415655.368334,38821.000000,1438945.688677
65536,5677105.257623,141670.000000,563366.390997
