frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,3444466.758542,57942.000000,89772.267416
4,336463.785397,7694.000000,15870.783724
8,229143.217231,6374.000000,1813.187801
16,1443089.382202,24189.000000,29843.658640
32,373251.919450,10496.000000,32754.347345
64,199727.067369,6315.000000,11442.270273
128,702082.657533,13570.000000,18161.748319
256,1847037.799442,26246.000000,101601.819664
512,615830.863683,17767.000000,64025.517600
1024,474266.059381,12201.000000,2845.493455
2048,649669.932553,11002.000000,113495.391012
4096,1535564.487026,24612.000000,487097.432476
8192,5521571.468532,82965.000000,1301535.227038
16384,1362688.143833,29013.000000,120704.695679
32768,1775532.048800,29189.000000,690278.681406
65536,2072314.290594,40371.000000,1308405.611212
