frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1666772.019336,26065.000000,52377.042414
4,5009196.804052,72734.000000,52307.048837
8,305200.285267,17547.000000,194.994872
16,387776.193433,9605.000000,157.050947
32,1561400.492023,30472.000000,67025.897599
64,1626882.209124,24296.000000,2395.998539
128,1363295.997264,19394.000000,123282.625901
256,1172865.654376,19596.000000,114393.389507
512,1876275.357825,31706.000000,77993.878093
1024,323271.846703,10856.000000,8193.619042
2048,772612.031019,17926.000000,34198.123150
4096,8997047.358504,108227.000000,2388362.599524
8192,1960459.736374,32870.000000,504119.665735
16384,676838.888858,16399.000000,344904.005078
32768,2168425.130399,36976.000000,1166723.435815
65536,1421371.149220,36456.000000,1160285.100879
