frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1088261.834764,18156.000000,19779.613318
4,1088182.716140,22691.000000,42488.097110
8,855048.842252,20782.000000,10046.933214
16,345628.202774,10445.000000,11472.150757
32,413700.689750,11789.000000,14325.006911
64,1200794.856309,22360.000000,111315.192121
128,616963.138863,13371.000000,4108.804814
256,500376.726144,27285.000000,3059.460573
512,535803.678823,10568.000000,51926.758834
1024,1297650.387814,22829.000000,193195.938027
2048,1442630.420474,29231.000000,88315.020302
4096,588974.833326,15778.000000,121953.178429
8192,211661.446806,6017.000000,72396.509426
16384,1992054.395892,46602.000000,1550754.952551
32768,16965766.172127,254195.000000,219188.852431
65536,4113203.043975,78948.000000,3655953.650679
