arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
20,13.000000,262144,131417542.251343
20,15.300000,32768,166162832.740238
20,19.700000,4096,229167036.578631
20,32.300000,512,363608420.745034
20,90.000000,18,534240805.507797
20,90.000000,27,509411030.858201
20,90.000000,36,488875802.913577
