arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
20,13.000000,262144,128275022.668706
20,15.300000,32768,164115301.204006
20,19.700000,4096,228157504.438850
20,32.300000,512,365504284.453929
20,90.000000,18,536409773.151940
20,90.000000,27,507358300.213885
20,90.000000,36,486227437.360307
