arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
22,13.000000,262144,122389180.573311
22,15.300000,32768,156807556.831224
22,19.700000,4096,221245621.466469
22,32.300000,512,356713336.041005
22,90.000000,18,521912923.670649
22,90.000000,27,497893472.487015
22,90.000000,36,472145051.312436
