frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,135582450.681628,2324438.000000
4,136139289.497750,2328627.000000
8,138330176.467910,2279873.000000
16,137502749.633844,2282354.000000
32,140274322.278411,2273680.000000
64,138350206.669778,2259102.000000
128,140767192.421722,2165305.000000
256,144357748.500402,2266537.000000
512,144663709.339137,2247238.000000
1024,135958353.272631,2187174.000000
2048,143657923.542491,2246560.000000
4096,143162549.053827,2250681.000000
8192,144056050.681404,2233339.000000
16384,160630078.195420,2238853.000000
32768,121309080.308640,2134723.000000
65536,214633400.311471,2278013.000000
