frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,136225864.565407,2152589.000000
4,138228554.037460,2177296.000000
8,140328421.718064,2210994.000000
16,137189403.618261,2208132.000000
32,134483408.186059,2206549.000000
64,139577205.265768,2286233.000000
128,138442910.656066,2221465.000000
256,139945044.936733,2269476.000000
512,135260582.129129,2158019.000000
1024,138798085.355902,2220586.000000
2048,134311195.938157,2109708.000000
4096,143336303.744336,2119074.000000
8192,117943740.365993,2019117.000000
16384,149864861.968816,2153703.000000
32768,133152283.429790,2166142.000000
65536,166057766.659812,2273232.000000
