frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,136789055.914736,2275138.000000
4,136382476.245444,2268365.000000
8,136275719.120606,2323989.000000
16,135762695.736509,2161065.000000
32,137667276.660515,2326526.000000
64,141552398.897193,2180750.000000
128,141154261.444374,2155248.000000
256,139758702.546201,2213162.000000
512,144157312.221923,2226137.000000
1024,142504254.600791,2227774.000000
2048,140269622.000539,2168501.000000
4096,143301911.040844,2310737.000000
8192,140895434.190364,2177230.000000
16384,125521133.075700,2115230.000000
32768,154032218.663363,2197786.000000
65536,176490840.540608,2214616.000000
