frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,137197142.995603,2323764.000000
4,135004649.888492,2315556.000000
8,137183276.253973,2232716.000000
16,139201742.358281,2265902.000000
32,133967226.450477,2167290.000000
64,139192215.252239,2242341.000000
128,137408845.928046,2158444.000000
256,142531257.499530,2224613.000000
512,137560447.011636,2261555.000000
1024,134747936.766070,2231379.000000
2048,137146870.366120,2093120.000000
4096,143068646.797980,2237062.000000
8192,107317421.382184,2275376.000000
16384,142684712.375153,2265363.000000
32768,171983863.399905,2652321.000000
65536,87533061.194555,2260507.000000
