frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,134626674.583429,2261210.000000
4,135152097.760722,2428944.000000
8,135933913.063957,2418048.000000
16,137735346.296939,2205755.000000
32,141491143.547775,2162459.000000
64,139796709.091378,2209124.000000
128,136764580.535244,2207467.000000
256,137720302.949158,2268996.000000
512,138775906.886955,2231547.000000
1024,141538872.103923,2253146.000000
2048,131137993.454090,2173317.000000
4096,137374816.479741,2329306.000000
8192,139141262.773170,2081692.000000
16384,148116011.671530,2249854.000000
32768,143756409.693357,2337140.000000
65536,113916912.626054,1935930.000000
