frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,133946315.129076,2311346.000000
4,136489722.223687,2201049.000000
8,137741834.177963,2192582.000000
16,135227735.714827,2184281.000000
32,137496557.153403,2209300.000000
64,138484218.529764,2241116.000000
128,138273749.136510,2170849.000000
256,139539158.274893,2258176.000000
512,146858242.109939,2270322.000000
1024,135742322.125352,2211746.000000
2048,131133986.390846,2127275.000000
4096,135433945.546604,2233955.000000
8192,141044706.754216,2426487.000000
16384,163094155.895649,2345129.000000
32768,180166661.059412,2164986.000000
65536,94731058.799280,1472798.000000
