frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,136671740.422056,2301020.000000
4,134834299.171366,2136016.000000
8,135014085.323705,2163839.000000
16,136497235.938752,2188911.000000
32,138943331.988794,2233234.000000
64,139522271.624171,2190887.000000
128,142186414.838788,2318434.000000
256,138162991.121813,2174915.000000
512,141221337.035909,2251429.000000
1024,137795170.512702,2309054.000000
2048,147904253.762139,2405876.000000
4096,127712208.405790,2185386.000000
8192,144084128.349174,2208811.000000
16384,148418106.023230,2268045.000000
32768,104563952.985491,2169355.000000
65536,171676909.227094,2448444.000000
