frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,135011090.683520,2217726.000000
4,134086019.701295,2244571.000000
8,135777457.761238,2134399.000000
16,139020300.261322,2217860.000000
32,139176066.069233,2237757.000000
64,141939381.439254,2277492.000000
128,141211983.235156,2230917.000000
256,138412896.183016,2186071.000000
512,134313117.402818,2238435.000000
1024,143455313.078456,2217345.000000
2048,132346449.410438,2180932.000000
4096,133166822.142494,2093693.000000
8192,148649565.754330,2206341.000000
16384,102188793.846171,1994411.000000
32768,175903053.451449,2368831.000000
65536,165301607.886980,2082978.000000
