frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time
2,133131899.999458,2238237.000000
4,136623874.505652,2180302.000000
8,137240515.285043,2224269.000000
16,139222464.803818,2211887.000000
32,141587384.254174,2401284.000000
64,136273511.290833,2216453.000000
128,139794094.246019,2235065.000000
256,140396150.606486,2245444.000000
512,133791296.139684,2219513.000000
1024,140524790.771254,2207171.000000
2048,152530368.047132,2258839.000000
4096,130662406.614123,2190175.000000
8192,115196182.592275,2154856.000000
16384,151495476.843633,2138105.000000
32768,142869268.669892,2502149.000000
65536,229473168.753072,2231974.000000
