frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,32714973.368697215,1083675
4,420923.86981495837,194195
8,709976.3682989738,414993
16,33501146.35083576,1123909
32,60776412.9453895,1655641
64,33787439.74683218,1072388
128,33694158.841665186,1084740
256,61614631.868684344,1644529
512,63608589.05570435,1699120
1024,61441415.63049145,1735751
2048,60168888.01905263,1737458
4096,699180.7565637087,218750
8192,1015355.2322502701,333896
16384,246339.4263633006,94982
32768,604576.7434701736,255617
65536,28713415.84875159,1028574
