frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,58809798.789543666,1664263
4,344594.28361335304,149420
8,344871.1681004952,160210
16,62260872.585670695,1776015
32,59751423.818820976,1841564
64,184069.85313461843,61715
128,34603084.453883484,1137279
256,33739322.237434275,1054804
512,33399151.94202778,1208931
1024,59759543.81408295,1626612
2048,39205694.92711059,1110927
4096,61866407.391008414,1640847
8192,469300.5411013288,141963
16384,48684928.71222352,1160684
32768,59197042.96627389,1572179
65536,20797337.09184979,1137581
