frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,32322785.535371266,1122349
4,61107211.6617509,1665338
8,672308.2670769414,248818
16,61441935.455836244,1793258
32,32455954.035021525,1108317
64,62072474.58955662,1867908
128,1066761.0750510162,414006
256,33558780.976869166,1073702
512,39510321.9483043,1132229
1024,67843904.64508621,1689979
2048,1602765.189301602,601872
4096,1664610.2440658594,511904
8192,82169718.94423328,1698710
16384,24900547.16736317,1004867
32768,464080.6292434538,261067
65536,27667500.1231119,1145503
