frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,60883820.704923354,1737697
4,61533586.38380823,1807143
8,58960682.652899794,1568779
16,679443.8083587192,264429
32,1538903.8183024954,558694
64,32435139.411496907,1118279
128,585036.9325734915,202447
256,60472383.756824695,1727596
512,61826227.24277788,1610910
1024,65202939.93048552,1665209
2048,43742633.438127406,1208102
4096,32683950.809060723,1132041
8192,56394397.90222409,1701821
16384,68981084.82181007,1639238
32768,54205014.656351544,1660807
65536,97196594.02673614,1760122
