frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,515402.8918166835,304838
4,32556243.10614468,1078402
8,32052779.180673834,1176434
16,477176.61035616574,237579
32,34240791.066953115,1042875
64,759415.2539697896,365252
128,33404258.9103191,1108516
256,60371832.315229475,1664301
512,864606.0178173641,335692
1024,34140883.85608225,1178144
2048,32258575.075604286,1107293
4096,1971327.4880135974,531666
8192,33382459.18699921,1067898
16384,49677596.48898456,1062462
32768,5114209.140811901,362043
65536,15631635.691697942,1162257
