frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,33271119.51674243,1111069
4,60241968.208966024,1713585
8,61398712.81207159,1701076
16,1276331.7277867068,605086
32,32156472.666194763,1104103
64,35286957.96673594,1184729
128,61244947.65677769,1726274
256,1295797.0856746824,579742
512,33651858.100801595,1142141
1024,61630387.18069051,1603763
2048,966194.1447581847,472001
4096,1737324.6368911597,353767
8192,41629688.59785575,1124655
16384,55396155.78430578,1665257
32768,28184385.459435195,1175426
65536,82098001.15548693,1522045
