frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,62220549.74659588,1947000
4,298033.4638106936,137396
8,34198996.55540243,1112088
16,34659321.920204975,1151237
32,1220587.967768403,483777
64,1165905.4597817955,568137
128,35605398.0203148,1182948
256,34721732.037091196,1076841
512,1910170.243636153,604197
1024,32570379.652541295,1185516
2048,33928905.7175342,1121998
4096,988506.4124420235,272306
8192,30159581.32813143,1166135
16384,38201572.009415686,1172218
32768,17155434.263427757,1093204
65536,56467420.45550051,1702280
