frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,304902.8140949178,149573
4,30879098.291675974,1083354
8,33485869.049810383,1150668
16,33958368.52901734,1077412
32,631208.9373844449,367003
64,59813344.19987412,1616244
128,34052926.78027651,1187871
256,64193422.041521326,1772291
512,58468586.04996894,1715563
1024,61457364.77932407,1780741
2048,58603657.16594022,1648736
4096,51200769.08312981,1565027
8192,47224417.08365468,1192496
16384,66933417.505404115,1699919
32768,101007776.35010944,1640283
65536,89415299.74816637,1744739
