frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,59564899.41739022,1866247
4,948189.2646876994,658595
8,60188181.78533191,1666765
16,61579857.078509375,1666139
32,1746729.42582645,596692
64,867875.0981575632,446478
128,59700273.27294403,1729630
256,60634669.41934495,1733258
512,65878637.26929691,1706326
1024,62110082.96928555,1524664
2048,36010781.27082724,1030315
4096,51153867.983127825,1633777
8192,1187871.744386994,582831
16384,2639866.6678059706,560542
32768,656978.4530264292,533658
65536,513963.90853736026,366609
