frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2053996.402840,282828.000000,54.817880
4,1237010.573543,296658.000000,165.683433
8,1834709.221487,292192.000000,153.133928
16,2003087.527005,284247.000000,65.802736
32,1393726.497606,280721.000000,718.180339
64,2379291.648231,273639.000000,1007.105754
128,2427618.184154,291684.000000,290589.413025
256,3029270.722695,292080.000000,359919.684492
512,2958637.771281,289691.000000,234284.598512
1024,1861096.671022,277214.000000,396505.324392
2048,3350318.621356,293104.000000,612539.748474
4096,3011928.819058,264322.000000,1117745.418865
8192,4183976.477830,283445.000000,2180252.302556
16384,4504908.510631,289066.000000,3208713.533918
32768,2347213.321979,221146.000000,1343068.447086
65536,3989693.177566,300248.000000,2668783.167282
