frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1161535.384856,296748.000000,249370.010685
4,1475773.605581,267312.000000,202.496914
8,1181563.514225,221444.000000,102.849404
16,1393675.865333,248306.000000,9733.694314
32,2774742.980628,291985.000000,200621.071162
64,2675109.278014,290862.000000,89324.546721
128,2319725.991866,301047.000000,43082.936263
256,2961329.269898,300633.000000,6108.416816
512,2451220.613895,293531.000000,245136.611348
1024,2661300.349650,282552.000000,55485.518786
2048,2429380.394013,291981.000000,117200.170956
4096,4446197.147799,294833.000000,1416459.993476
8192,2266793.859474,299362.000000,769201.293867
16384,1290631.341397,186683.000000,349684.518196
32768,4548558.487636,238380.000000,4036457.956597
65536,2019528.635088,172096.000000,1365120.253518
