frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,681236.606469,139997.000000,85960.383974
4,795110.440231,226696.000000,53.450912
8,1456015.579192,234523.000000,116.833214
16,2449900.221544,298420.000000,1985.607716
32,2204705.366637,294493.000000,24352.106665
64,2875440.545916,300816.000000,5005.284008
128,2247897.134528,289483.000000,582.461158
256,3253926.480149,294432.000000,287066.631953
512,2619806.387668,304795.000000,173946.054523
1024,2580953.961365,288275.000000,403278.067541
2048,2724473.374300,289100.000000,392023.136311
4096,3913861.172240,306800.000000,1581521.009679
8192,1662829.889021,282963.000000,366106.208810
16384,3084429.348712,251499.000000,1653745.813640
32768,4225550.076355,277304.000000,836596.307236
65536,5383326.225035,287611.000000,4850431.324799
