frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,2310902.881046,293212.000000,142.225174
4,2141950.971236,261894.000000,109674.016595
8,1209211.223626,268248.000000,227.569770
16,2332841.365432,282867.000000,283.113052
32,2428912.464366,301315.000000,2362.151562
64,2400969.950031,298424.000000,33057.517299
128,2810970.252193,275359.000000,22254.345531
256,3179617.993452,304035.000000,376168.237474
512,2792752.352115,295259.000000,49588.918258
1024,2843948.354257,286016.000000,436260.182439
2048,1477359.373329,284599.000000,283185.151609
4096,2267177.732525,252681.000000,174698.213740
8192,2521981.845317,287881.000000,576686.683153
16384,2111604.979409,212848.000000,660998.933066
32768,520383.648098,81662.000000,0.000000
65536,303912.106460,83980.000000,0.000000
