frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1445728.978603,290744.000000,78.600254
4,2305251.944079,267327.000000,211.501773
8,1551117.356159,262095.000000,93.669632
16,1750979.868348,244104.000000,160.383914
32,2134347.303456,297365.000000,976.137285
64,2023835.883058,296295.000000,3110.154337
128,2388924.086629,279961.000000,3836.881807
256,2524168.967086,298009.000000,202323.706999
512,2865473.830320,289783.000000,79364.947445
1024,2826408.859096,292611.000000,640596.397720
2048,3312062.271893,304643.000000,490050.422743
4096,3557648.167674,290112.000000,1506552.484317
8192,2541386.003025,285205.000000,1121686.792696
16384,1967890.279977,244521.000000,340057.276637
32768,3776374.642264,234602.000000,2149719.542655
65536,7146318.004066,302687.000000,7146318.004066
