frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,1746799.297161,295697.000000,106.559842
4,1729204.258376,291966.000000,15645.437034
8,1044699.810671,302183.000000,20.591260
16,702477.157823,213195.000000,1671.328513
32,2697298.058476,281887.000000,9494.850394
64,2630487.198804,288346.000000,144177.368827
128,2652493.419624,295229.000000,9241.290711
256,2425187.297109,299311.000000,191150.275715
512,1533752.803193,244371.000000,190357.539677
1024,2512039.414029,297552.000000,702113.856593
2048,2644256.561059,287159.000000,669568.404946
4096,3067847.059039,288656.000000,1080966.614935
8192,2954447.947683,283157.000000,145503.146839
16384,2338740.884262,266145.000000,858821.544797
32768,3477763.773729,238084.000000,2887996.733052
65536,4982626.343141,297459.000000,1247971.038642
