frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,23607572.432599,522908.000000,0.000000
4,22587008.214576,507052.000000,0.000000
8,22901756.176393,509172.000000,0.000000
16,23651497.586581,510243.000000,0.000000
32,22632031.619238,517455.000000,0.000000
64,23296364.436502,514049.000000,0.000000
128,22769563.681796,523049.000000,0.000000
256,22896576.040198,521099.000000,0.000000
512,24867000.954093,515665.000000,0.000000
1024,22786217.031715,502676.000000,0.000000
2048,25236770.425056,519441.000000,0.000000
4096,27033464.197312,547887.000000,0.000000
8192,18060516.886262,428510.000000,0.000000
16384,20386540.500814,444683.000000,0.000000
32768,21639971.365397,438451.000000,0.000000
65536,27374710.582220,501930.000000,0.000000
