frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,22579333.950611,508786.000000,0.000000
4,23270417.075041,516303.000000,0.000000
8,22664296.260324,506321.000000,0.000000
16,23127377.029116,522338.000000,0.000000
32,23385319.936804,521080.000000,0.000000
64,23572305.009376,530318.000000,0.000000
128,23729645.888980,525539.000000,0.000000
256,24116941.333165,517343.000000,0.000000
512,23204922.620770,521298.000000,0.000000
1024,21626005.323128,492558.000000,0.000000
2048,21693424.915207,505509.000000,0.000000
4096,22436472.462689,487640.000000,0.000000
8192,30940995.661399,618195.000000,0.000000
16384,22662107.556033,477732.000000,0.000000
32768,32036028.331778,590810.000000,0.000000
65536,23707536.723863,468232.000000,0.000000
