batch,SRPT,FCFS,BAL,SJF,RR,RMLF,MLFQ,SETF
1,1815.8576,1305.7645,1815.8576,1796.5848,2161.6619,3445.4413,16209.3989,4418.5383
2,167682.0506,4899.0064,52487.5526,167569.4115,11202.1361,267116.2436,44096.2697,342170.6108
3,255221.2732,10576.3576,52008.3753,255180.5264,18191.0135,264370.3306,70711.9976,350465.6589
4,159743.7308,9488.8309,56313.8622,159688.7474,16714.5680,258876.6366,102526.5653,502419.5621
5,14218.2470,11124.3146,14218.2470,13939.3281,20823.7097,41876.0995,131480.1853,331412.9833
6,12325.6223,12838.1957,12325.6223,12076.7860,23231.4599,43034.5023,160819.5255,369466.8942
7,22444.7241,12171.6284,30732.3076,22037.5536,21907.3076,37895.1920,192311.2683,357553.5040
8,130640.5637,11745.3407,30245.6484,130617.6301,20952.2859,142616.3139,225300.3463,395856.9833
9,41973.4967,11729.5486,41245.0811,41098.9025,20607.9724,141215.7806,257042.3868,291802.7309
10,10090.7778,10701.9833,39947.6045,9709.1949,21505.6254,45855.4775,286792.3495,364853.5256
11,174911.1863,14073.4420,57208.7825,174699.8433,24325.4525,187024.4655,314087.2185,284975.2393
12,119260.2954,13409.2137,33268.7156,119252.2467,24070.7922,142851.4324,344426.2702,278997.3679
13,119498.8862,13467.5382,50902.8511,119476.5642,26293.9332,179349.2178,374221.3310,201202.2523
14,117455.7391,16432.8560,47511.5205,117365.3094,34125.6328,138852.1333,401261.1994,335142.1773
15,46332.8660,22196.4897,57841.6731,46208.8339,40897.0390,139895.3352,427224.4555,246903.1335
16,158623.4024,22281.2871,51423.1574,158573.6282,37482.2571,203998.9054,457798.5966,166433.2928
17,38334.7998,19508.2792,51092.6060,38219.1608,37317.9501,127236.5326,489928.6348,212044.5560
18,33737.3092,22477.5683,30064.8363,31804.1145,37107.9190,123459.5985,517016.2119,260451.4806
19,38414.6842,19244.7012,29368.2330,38392.2576,31944.5336,123356.2351,550165.6768,249593.1483
20,37743.8957,16148.7148,41750.0397,37007.4910,30392.8797,116434.0557,584103.7384,180453.2692
21,131272.2361,17640.0825,43556.0600,131195.6666,32663.9700,148079.9993,612460.1433,218612.7690
22,109738.9266,18563.8732,64850.1914,109733.2940,31404.3185,149114.7060,642003.6947,247804.9974
23,86480.2864,16696.4325,41230.8844,86480.8419,31149.0488,111126.2331,673701.8644,156534.1551
24,84470.6793,19021.9965,55685.8976,84329.6794,35946.0690,114420.5332,703073.5204,301465.9498
25,77838.0294,19571.1231,44668.9165,77831.3239,36502.7101,106789.9504,732592.9991,202543.6636
26,80192.5284,22670.0978,57712.6214,80160.1391,39281.4895,106912.9272,761966.4754,227022.8993
27,4233.0346,20258.6919,41362.2130,4146.8949,35091.5723,70909.9879,795024.3302,156701.8792
28,4706.0066,18480.8079,28470.9746,4792.6069,33810.1555,67365.6167,827549.3704,108507.6272
29,65428.1630,18616.2982,49277.8690,65411.8132,33598.7768,97149.4723,857481.9065,172904.1793
30,6747.8527,18010.5778,49139.2212,6685.2322,31724.7089,62848.9628,886935.8744,133602.7294
31,1899.8147,18236.5787,29084.6658,1860.8632,31209.1122,93422.2473,916147.9162,126612.6807
32,86227.2018,17409.9551,60891.6958,86176.7228,31809.9714,131585.7743,947577.3119,199278.9836
33,61969.8752,18630.7947,46297.1436,61961.9834,36545.2898,129882.6207,976302.0101,160815.0099
34,84969.6471,21297.0047,81712.4346,84885.8665,44276.6982,129347.8946,1004341.8546,209589.5024
35,88891.5566,25214.2782,59958.6353,88857.1338,51132.4376,138013.6787,1032000.2377,192755.3899
36,64790.6693,29098.1359,57076.7386,64635.0144,57070.3692,121412.4054,1059458.8929,155841.6324
37,51086.0395,33402.5690,69440.1994,50971.2499,64168.7636,118324.5789,1087018.5859,143079.0084
38,62779.1626,36376.8704,89591.6418,62697.9838,64267.3498,127413.6667,1116622.4664,135090.8992
39,39761.2539,36230.3983,49641.1784,39728.9261,57669.7970,110624.3178,1146729.5767,128857.0164
40,63429.7611,32160.6700,58609.7819,63402.6716,57012.5600,136071.3049,1182404.7696,125967.5798
