batch,Dynamic,Dynamic_BAL,RFDynamic
1,8475.8578,8475.8578,2945.0840
2,5914.3254,5914.3254,6554.5070
3,9074.0096,9074.0096,9074.0096
4,14664.0905,14664.0905,14664.0905
5,18125.1966,18125.1966,18125.1966
6,21935.5900,21935.5900,21935.5900
7,23903.1410,23903.1410,23903.1410
8,25088.6760,25088.6760,25088.6760
9,24798.3176,24798.3176,24798.3176
10,22886.5115,22886.5115,22886.5115
11,18605.7036,18605.7036,18605.7036
12,16001.7826,16001.7826,16001.7826
13,8744.5150,8744.5150,8744.5150
14,4531.0306,4531.0306,4531.0306
15,7156.3131,7156.3131,7156.3131
16,6328.2415,6328.2415,6328.2415
17,8579.5710,8579.5710,8579.5710
18,12599.5438,12599.5438,12599.5438
19,12010.8342,12010.8342,12010.8342
20,11030.3812,11030.3812,11030.3812
21,6019.2490,6019.2490,6019.2490
22,7474.5297,7474.5297,7474.5297
23,10201.0428,10201.0428,10201.0428
24,17203.8348,17203.8348,17203.8348
25,19662.1451,19662.1451,19662.1451
26,18218.6854,18218.6854,18218.6854
27,21446.6935,21446.6935,21446.6935
28,24440.2370,24440.2370,24440.2370
29,27981.5326,27981.5326,27981.5326
30,34988.6862,34988.6862,34988.6862
31,41632.9429,41632.9429,41632.9429
32,41271.3547,41271.3547,41271.3547
33,42379.4163,42379.4163,42379.4163
34,44095.8399,44095.8399,44095.8399
35,46688.0360,46688.0360,46688.0360
36,45298.8971,45298.8971,45298.8971
37,44331.0560,44331.0560,44331.0560
38,47700.3675,47700.3675,47700.3675
39,48505.2092,48505.2092,48505.2092
40,49882.7382,49882.7382,49882.7382
41,53511.1987,53511.1987,53511.1987
42,49584.9536,49584.9536,49584.9536
43,53315.6533,53315.6533,53315.6533
44,53336.1275,53336.1275,53336.1275
45,52321.5690,52321.5690,52321.5690
46,49214.1050,49214.1050,49214.1050
47,46289.9715,46289.9715,46289.9715
48,48181.4268,48181.4268,48181.4268
49,47419.9851,47419.9851,47419.9851
50,43259.8674,43259.8674,43259.8674
51,40499.3648,40499.3648,40499.3648
52,37239.8732,37239.8732,37239.8732
53,21178.8299,21178.8299,21178.8299
54,9850.3522,9850.3522,9850.3522
55,11446.1639,11446.1639,11446.1639
56,5667.2542,5667.2542,5667.2542
57,2214.4984,2214.4984,2214.4984
58,3359.0098,3359.0098,3359.0098
59,787.0083,787.0083,805.4160
60,3480.5324,3480.5324,3422.7680
61,1252.6205,1252.6205,1494.6722
62,6101.5172,6101.5172,7844.4192
63,2360.5264,2360.5264,5721.5894
64,2735.6604,2735.6604,2809.0445
65,1161.2312,1161.2312,825.2854
66,1074.7814,1074.7814,1271.8259
67,690.9964,690.9964,802.3815
68,1187.2540,1187.2540,1478.2584
69,1558.1746,1558.1746,1244.4111
70,1126.8074,1126.8074,859.0955
71,603.2305,603.2305,497.5269
72,928.2510,928.2510,1021.5097
73,4838.1162,4838.1162,6012.3877
74,3478.9638,3478.9638,1799.4355
75,2421.3723,2421.3723,1750.9529
76,991.0545,991.0545,1418.6539
77,1993.6725,1993.6725,364.6231
78,942.5540,942.5540,1583.9602
79,4839.5203,4839.5203,3848.5187
80,16068.8561,16068.8561,9326.2747
81,2333.3227,2333.3227,924.1093
82,8384.7888,8384.7888,666.0180
83,1354.4855,1354.4855,810.8736
84,15203.8197,15203.8197,5143.8410
85,2711.0804,2711.0804,883.7686
86,750.3233,750.3233,646.6088
87,19096.2793,19096.2793,30532.2030
88,4385.9651,4385.9651,1031.8488
89,11893.6991,11893.6991,5262.9866
90,10834.7757,10834.7757,365.6624
91,4941.0767,4941.0767,694.8057
92,7010.5317,7010.5317,8490.6033
93,8553.1497,8553.1497,3743.6489
94,6473.9651,6473.9651,369.8689
95,9100.3216,9100.3216,1255.3744
96,4439.8578,4439.8578,1985.7822
97,1407.0540,1407.0540,1094.7813
98,651.0799,651.0799,840.0345
99,725.4468,725.4468,684.6809
100,1653.3357,1653.3357,1946.4039
