frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1813005.997816,305239.000000,3956.449418
4,1980031.211486,247044.000000,5636.114442
8,2254534.457781,280430.000000,60421.192110
16,2943166.499970,266090.000000,144129.363362
32,3801789.891071,283914.000000,134484.917775
64,5378856.004970,307813.000000,89877.939596
128,3698810.290094,300370.000000,98137.180019
256,4645600.522124,293083.000000,104346.449940
512,6058452.117434,289940.000000,475141.777163
1024,5274877.107998,286386.000000,925650.822025
2048,4223919.007135,255945.000000,900498.842478
4096,3105301.025461,149107.000000,333222.585660
8192,2960521.219150,290357.000000,749416.048674
16384,4276417.000778,145638.000000,2912842.949923
32768,4278251.142777,240501.000000,2888507.814718
65536,7796730.584782,294480.000000,5728415.559849
