frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2214946.711988,270066.000000,4719.953284
4,2666284.392266,275175.000000,41602.933635
8,3102968.820604,303074.000000,33699.010816
16,3940884.410134,300753.000000,104473.394695
32,4534394.525974,302251.000000,130152.793274
64,4158220.857383,295969.000000,288243.319734
128,3777028.342195,304197.000000,162327.094781
256,3390309.482775,295377.000000,283871.142649
512,4889476.360922,302206.000000,519046.287472
1024,6776075.660857,303782.000000,796810.717285
2048,3092387.425577,252918.000000,415136.116717
4096,3271645.983553,189119.000000,682591.590925
8192,1736998.629137,111527.000000,776787.894164
16384,3246366.828016,239841.000000,1749614.264994
32768,3621835.383051,137811.000000,2242721.253119
65536,3914584.193220,252081.000000,2477760.109300
