frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,969788.405435,207422.000000,0.000000
4,2840751.659870,305796.000000,0.000000
8,1509243.085389,298927.000000,0.000000
16,2449586.555710,215181.000000,0.000000
32,2233954.246104,192856.000000,0.000000
64,2979244.329958,295888.000000,0.000000
128,2388720.532577,267947.000000,0.000000
256,5822940.155650,299627.000000,0.000000
512,6229794.659777,304464.000000,0.000000
1024,5017855.049037,304020.000000,0.000000
2048,4556176.823037,287568.000000,0.000000
4096,4940549.035349,241192.000000,0.000000
8192,4677058.831998,301736.000000,0.000000
16384,6193669.942868,301450.000000,0.000000
32768,2001122.261603,114777.000000,0.000000
65536,10909437.921089,296560.000000,0.000000
