frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3628010.074533,306019.000000,0.000000
4,2429133.761752,259745.000000,0.000000
8,1704657.041608,181182.000000,0.000000
16,2748980.839394,291593.000000,0.000000
32,3238924.182875,294011.000000,0.000000
64,5099004.498151,304397.000000,0.000000
128,4855921.723729,295050.000000,0.000000
256,4741267.819925,306310.000000,0.000000
512,4224137.333100,296214.000000,0.000000
1024,3089747.590428,295627.000000,0.000000
2048,6257906.408449,303606.000000,0.000000
4096,3672411.674892,295389.000000,0.000000
8192,1882780.233266,179534.000000,0.000000
16384,7865603.500747,291988.000000,0.000000
32768,5083582.021124,255854.000000,0.000000
65536,10475689.360423,296116.000000,0.000000
