frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2844500.077610,305249.000000,22771.999166
4,3136800.872117,306044.000000,38.000000
8,2946698.126944,291644.000000,8793.181506
16,3233876.505581,300455.000000,117803.871112
32,4060458.166607,293652.000000,7682.906221
64,4260740.457660,297989.000000,266594.941580
128,4103409.027569,299479.000000,356743.796798
256,4635024.889040,293506.000000,176938.332636
512,4819188.830450,307680.000000,196282.034912
1024,4304259.879889,298610.000000,565957.663276
2048,4829973.650097,307471.000000,613177.350614
4096,5815098.106863,305599.000000,1353748.970335
8192,6168718.565331,296383.000000,1866993.880730
16384,1442423.190398,89719.000000,989196.126840
32768,1996568.745227,135116.000000,1132725.110422
65536,7225395.837629,300145.000000,5036095.530582
