frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3059430.335300,280000.000000,57606.480234
4,2469417.840368,248630.000000,49822.965106
8,2867582.051976,274030.000000,31781.068531
16,3249361.425229,298679.000000,7688.107700
32,2909572.457665,301193.000000,98509.447989
64,4888466.402644,304724.000000,230202.673049
128,6362291.024720,306701.000000,340868.679914
256,2992525.853802,293908.000000,191940.922268
512,2667054.655818,293747.000000,83465.820915
1024,4639945.299838,300573.000000,313263.665442
2048,5583779.616558,272713.000000,1361118.071928
4096,4743205.888170,304805.000000,952457.275177
8192,4374581.807630,288546.000000,1389011.899916
16384,5895631.490411,228619.000000,3942192.461296
32768,4826457.909248,282181.000000,2044246.194883
65536,11000944.727419,289495.000000,7006517.294993
