frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,980036.397860,19262.000000,20495.216296
4,1099343.044224,22672.000000,16977.089061
8,573267.369609,9606.000000,18426.638570
16,906061.119912,17529.000000,12973.291872
32,977681.022908,15638.000000,18156.399423
64,463972.829989,8543.000000,48621.823506
128,1526770.701878,23445.000000,116515.518567
256,874330.076772,18106.000000,72378.031943
512,1780661.318128,33286.000000,148283.266534
1024,1263687.978637,24520.000000,113068.369551
2048,598460.649215,13209.000000,191839.464543
4096,1545757.131977,28327.000000,558968.594719
8192,1883421.478126,31357.000000,456640.504874
16384,516636.346264,17188.000000,66495.041108
32768,3030768.559666,57504.000000,1306378.239458
65536,1510393.698301,31806.000000,1023996.495728
