frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1053079.404662,22780.000000,8839.667528
4,491262.093327,12939.000000,4054.595171
8,1178737.318271,24308.000000,394.777152
16,1209282.037072,21052.000000,38120.453499
32,1173011.368420,27807.000000,741.989892
64,312990.808309,7324.000000,2865.623841
128,3337250.006082,65749.000000,3563.467413
256,831170.344689,22743.000000,333.905675
512,1513574.433308,28420.000000,71073.055232
1024,4822886.183751,64600.000000,842485.644355
2048,2976885.719323,56774.000000,460867.036279
4096,3842888.998774,55709.000000,1204803.661603
8192,1048579.140936,18902.000000,319437.015388
16384,1928330.141249,29851.000000,705290.564266
32768,1806419.646864,31374.000000,638558.343485
65536,3338233.501115,51077.000000,1827759.762788
