frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,284416.890553,11599.000000,179.385061
4,238900.462220,6288.000000,2607.276548
8,494693.871104,14634.000000,19350.902201
16,1501161.031708,23635.000000,63427.516001
32,520101.481255,12294.000000,22980.420971
64,4301228.987066,56644.000000,198924.681799
128,1223396.021251,26720.000000,15571.966639
256,2531747.869523,42135.000000,125717.752378
512,424041.696135,13494.000000,53787.321620
1024,3354050.887481,45407.000000,551560.678495
2048,1899460.886268,33160.000000,119780.683944
4096,565906.852670,16472.000000,301345.478863
8192,1118828.792947,23914.000000,156282.533480
16384,1067107.082008,21105.000000,501672.742656
32768,5770382.143914,91846.000000,4226387.176945
65536,345182.317763,8788.000000,0.000000
