frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1707884.881183,37340.000000,19231.035906
4,562889.677378,13373.000000,39.786933
8,6111847.320594,93603.000000,214302.615822
16,1219517.810371,27136.000000,38432.899917
32,3047092.199334,47501.000000,541.260566
64,425079.106025,12925.000000,24938.902121
128,5348276.071576,86533.000000,533984.260838
256,1534109.928879,34373.000000,180483.162669
512,1809733.331358,42341.000000,3980.743775
1024,2065989.669119,45662.000000,373564.388309
2048,1601859.112525,59443.000000,290252.744025
4096,8733926.120707,121411.000000,2971270.511199
8192,616527.018600,14361.000000,174215.847758
16384,4100787.297339,67147.000000,1006781.727408
32768,2317916.244521,99615.000000,708393.859479
65536,1771895.237273,31317.000000,994468.949295
