frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,4311783.371330,64272.000000,136764.977081
4,268035.932069,10517.000000,13.190906
8,129406.543254,5575.000000,80.255841
16,621868.775607,36562.000000,2681.157586
32,3494636.925751,57740.000000,23740.576973
64,7953218.704441,95254.000000,421981.711496
128,939978.765809,25093.000000,27953.198887
256,1456478.491061,28789.000000,21084.803011
512,1818652.537740,33982.000000,208284.083854
1024,1853768.229278,31544.000000,287686.392170
2048,656397.252653,15371.000000,143410.035883
4096,1592789.298979,29387.000000,244303.795511
8192,261625.299126,7603.000000,72191.663715
16384,784231.369006,22868.000000,136148.705062
32768,426545.172134,12664.000000,139550.265725
65536,605543.004194,17107.000000,0.000000
