frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,788712.138920,15101.000000,19811.529118
4,2009336.531348,42159.000000,29912.220429
8,4194742.497624,56007.000000,75462.571471
16,1081323.990280,21761.000000,3897.868264
32,1717439.509091,29491.000000,19574.000000
64,704342.954225,11569.000000,45377.501264
128,2188458.963901,35647.000000,175670.551898
256,1103347.140998,21293.000000,28386.565079
512,1843963.009065,38490.000000,107935.780916
1024,1588525.999324,29366.000000,164490.003477
2048,718735.692502,13954.000000,64288.969559
4096,1046044.435171,17744.000000,313504.142271
8192,1577063.118150,34657.000000,152131.348469
16384,3267162.123833,46752.000000,1492401.437179
32768,1670143.420098,27933.000000,928039.645680
65536,1524914.749517,29257.000000,885207.801825
