frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
4,66464.260712,37805.980215,37812.664294,37809.180301,37814.816422,37805.685803
16,122145.290167,73754.180526,34548.843324,34584.901619,35300.065963,34477.275385
8192,66399.241464,55672.637857,41402.622115,42014.258342,56121.040261,41404.611422
2048,305758.089461,105689.895269,56673.785898,56678.792013,56684.531294,56689.254943
32,100951.289323,41636.334205,35940.009015,35935.314121,35924.412925,35934.701891
16384,667496.119795,130072.928667,112525.391028,112638.862179,112746.685153,112577.434009
512,142106.038383,47274.633325,47016.860019,47281.337122,47252.524017,47327.202432
64,269754.705694,42147.221545,42148.292362,42126.297974,42139.777432,42128.674748
8,281647.118434,48902.137213,48730.666248,48739.428208,48773.624553,48758.074777
2,308819.968265,53033.194379,53023.268798,53031.376137,53219.097014,53062.078992
128,131069.604795,91870.271318,54183.368195,43837.271037,43833.798889,43814.428993
1024,305823.495912,61541.085772,61561.911569,79070.838702,111692.599039,61524.124659
4096,114961.260523,82774.459376,50583.358696,50593.600801,64651.751322,50570.319497
256,107224.964640,57462.587202,47913.013608,53370.285309,53368.925622,47917.453595
65536,1122046.396719,693313.454821,437194.507096,437211.491722,455998.261344,436218.460958
32768,4762556.977431,257218.438151,257220.244056,257211.514410,257212.993187,257217.722228
