frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
256,393898.288135,425160.410910,96130.131572,64194.844131,66031.408262,64013.577872
128,753066.173267,583580.570436,184510.155382,81204.149568,66174.181831,66124.670177
8,61809.123437,41457.265793,29893.250425,29204.310264,29239.783840,29318.593469
2,183415.645077,120628.516483,58912.340770,43291.912247,43268.658160,39569.482711
8192,250256.111612,228113.623464,245082.249869,208065.044984,185252.245571,104565.190250
2048,391381.767179,329312.897974,267079.046205,232951.743153,80012.626716,69155.380000
32768,165886.892493,103318.781158,67644.597833,75268.566401,75280.560824,67077.346556
16384,547625.712416,494461.104048,524402.062064,547357.690365,562665.886298,206713.007012
512,430490.977458,326596.266447,214473.659045,132089.736626,77070.803330,69072.679215
4096,693621.843464,658055.353331,533139.857360,457834.011644,334159.219135,146834.790656
64,533008.953466,362984.824475,290672.305000,59532.380492,61891.263107,59539.654290
32,120453.091413,109460.524227,50339.936164,50171.666835,49526.414649,42021.980772
16,1328519.836261,1174263.109493,709373.725810,309844.891943,74389.968941,53425.288675
1024,1898838.168644,1472687.387071,1389827.189694,363226.666715,180389.284438,162095.022416
4,362036.268791,251696.366682,112642.858464,43774.519403,42582.700678,42660.121894
65536,1170963.117993,627546.999551,561929.787650,562110.430381,562134.036937,561918.842566
