frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
1024,820547.362103,556355.315419,532972.468107,428621.135572,252382.253796,77280.946850
8192,409828.760634,399429.846690,339900.927251,326053.054232,263732.218572,97779.053396
4096,289441.414457,300784.783026,257231.730459,221722.065528,138535.795865,102534.450469
2,145984.988677,113865.885396,49126.394973,40909.345680,40883.870573,40862.050805
32768,503110.862454,497466.241290,497691.675002,497859.128509,550944.857627,575873.395550
256,588730.814591,322763.312269,161018.519180,106025.097029,82499.009715,56121.316298
32,272751.039254,205677.690232,132870.140795,84229.556000,154657.686333,47999.024303
16384,2232105.249303,2199825.586671,2136031.855658,2162229.679935,2036995.358196,217171.293685
4,158038.373777,127257.451067,69122.975261,46995.245206,51854.345806,40302.756655
16,546808.324924,396322.015033,238601.903383,41388.783130,41377.587774,41377.109046
2048,342779.143269,305948.874180,284951.858650,78979.441306,96801.403280,78730.861732
128,383131.361725,308660.162225,103715.326727,62920.961189,72045.069110,57009.407294
64,404527.999235,351046.904161,226076.220806,57893.387394,58320.053558,56919.673453
8,484042.994077,381492.295346,256125.997140,53009.223084,58515.783067,53008.029081
512,1086090.569480,741705.202840,523333.654563,251236.921745,95171.430498,89130.117631
65536,3401457.344162,3354220.228386,3408151.677523,3483380.457674,3524194.803063,1131891.497181
