frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
8,562405.987042,367822.964038,283731.712424,193318.702528,55980.354170,54380.332042
4,485040.894689,379456.091381,129551.711448,64243.058878,64256.575080,58657.209932
4096,429034.636402,382300.097417,332372.981778,312282.876617,188392.568633,106176.124741
2048,413351.641045,309383.353932,198819.391600,83476.377425,74818.489132,76004.209719
8192,857065.725366,833350.269738,765374.927754,313569.686317,126639.712042,126942.423996
128,178811.695353,91431.981741,62616.611622,56956.071265,59570.883131,54439.985718
512,688638.772180,464643.216744,387731.722477,162230.907860,98743.349295,64485.230022
256,200018.064124,166783.484224,121239.418182,45398.245230,44472.453339,46263.679372
16,375336.675813,209741.288627,139586.798265,62517.101148,105641.821889,62505.720394
2,723428.864233,542673.081816,312964.756027,57716.161064,68799.392025,45846.459449
1024,1588160.279446,1109172.072255,946677.669936,213267.067847,96195.585211,92405.372793
65536,621489.498087,609690.076054,619271.458415,630600.349327,603174.773605,264526.207796
64,728277.946067,472578.563226,304504.440715,56422.068262,56290.763701,55718.173498
32,1798796.286980,1476817.396838,849013.107954,102502.308311,108198.515845,105781.723298
32768,997927.990719,880502.915710,887857.238692,895247.798326,860841.120690,447204.293814
16384,1150861.985702,1008722.318645,1071555.075816,1039552.786489,1026547.590576,274790.344226
