frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
64,41800.483490,39816.197973,34042.913359,34030.069204,34773.186092,34038.192505
8,49420.862629,40281.100941,33474.238752,31444.042536,31699.231868,31480.216549
256,43901.916985,39299.476663,39216.378606,39214.299700,39229.588451,39228.505082
128,221209.100581,56478.899201,56485.204974,56479.590659,77765.775538,56488.910682
8192,111634.963206,124799.423368,105288.910418,105998.046595,105995.123520,105287.762580
2048,370876.031517,93683.423662,93590.150021,93606.645443,93688.195916,93616.460486
32768,209056.691208,73765.218654,73993.432938,73808.265221,73781.142448,73975.050869
65536,274022.835983,88888.801550,88927.552120,88896.805786,88879.414445,88885.462900
4096,216651.371717,133679.263852,56068.598208,56088.140502,56072.181659,56075.132465
16,473083.832357,226475.733835,74501.710047,74540.183760,74500.396529,76166.183034
4,237879.565362,98839.664285,44194.609422,44193.224266,44206.713268,44179.263541
1024,967897.304159,263263.885472,89455.233939,89546.863898,167425.674955,89438.215467
32,585664.388181,74174.650940,74203.463679,78114.821391,78128.445780,74205.486078
512,830120.115203,67032.737383,67007.610098,67017.627383,67030.197963,66935.184910
16384,359892.821314,257104.548262,79573.013214,79763.475137,185849.029430,79674.744574
2,1237863.256685,82316.379451,81945.000781,81949.928218,82004.949314,81951.878795
