frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
128,445201.358135,311529.633629,154338.292977,61672.973716,99970.765607,56559.238733
4,439851.271312,306917.283826,92731.216292,45536.852405,45551.192740,45553.865906
16,215953.705655,130886.374314,101823.787609,96545.824208,92508.770622,45865.694282
2,640742.518062,522066.800664,137072.737968,61125.185570,61129.462242,61189.313446
8,897000.770419,684444.948304,252286.095374,51507.085357,107322.971800,51533.965634
512,421357.768296,334935.255172,155839.529250,68971.835455,68408.972511,63044.841359
2048,475034.021890,439645.984955,360161.645401,279990.904906,152817.374317,68887.740099
8192,634908.970798,668767.682364,645778.258166,580335.829844,226164.746946,159578.186520
32,302961.350530,222078.849508,39772.696904,39653.733721,39298.350869,37737.281646
256,372739.182329,257000.153726,85771.841306,62971.579756,66459.559403,53556.487245
64,532271.896772,363379.374446,104025.616134,61689.262583,103700.423914,55435.924850
16384,1299936.975360,1205936.312845,1272818.107623,1263647.498220,1188468.547643,262326.194409
1024,1966022.886027,1685422.557630,1265644.978825,455365.157835,153425.736687,105534.715435
32768,1296474.289944,1279905.975391,1208144.958229,1217952.660087,1018013.715370,322096.251867
4096,1207178.728251,1169474.293798,971052.702665,320448.608847,232367.388912,165061.054919
65536,1302451.652072,1159709.708345,1188112.217205,1246280.486386,1346682.851360,1822787.471104
