frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
2048,105724.478145,41510.718146,41450.149951,43122.634764,43119.376781,41454.834664
4,128035.855173,47168.391355,47195.343086,47185.972492,47169.465123,47188.888056
64,240715.915830,40606.720983,40764.028935,40727.604582,40923.803929,40611.152064
128,70141.842897,97614.000686,37299.747372,37254.158573,37395.082310,37299.895134
65536,81246.665519,31854.745141,31329.477972,31336.479940,31916.638607,31287.876278
1024,218114.300214,55753.501657,44618.145210,44612.902495,44737.065863,44613.045816
32,1210335.141804,163310.147964,163319.048372,163306.747136,261084.876134,163255.730518
8192,130405.772836,49798.191734,49527.682724,49512.695241,49565.219418,49594.229009
2,423117.136670,368334.672259,196522.983485,196553.383990,196548.722000,196513.219527
32768,477799.618310,203029.424217,129371.370160,129389.406873,129295.511879,129285.270116
256,64021.961170,38155.884920,37140.795832,48552.737904,52334.523854,37137.898648
16384,225446.166104,128172.580527,102445.267260,125640.717409,147613.102240,103320.384707
4096,1398813.172368,763888.671054,156270.663981,156408.717407,156429.437738,156273.887124
512,75397.161744,50463.462010,42097.966020,42108.972037,42112.302062,42149.504967
8,493968.950534,62814.890703,62836.699221,62816.751484,62781.493969,62783.990515
16,5378187.496077,3233621.857593,202835.686377,212655.694513,202830.039982,202824.301416
