frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
64,612299.006538,562205.094606,432681.355203,232486.896792,73896.336973,67141.881669
2,158280.028352,143773.342074,98923.084515,61554.294091,38874.564654,38735.535055
16,309299.580415,224754.616693,196312.662429,132323.248392,114465.584282,50917.858350
2048,753064.818964,707682.276635,675552.939795,433240.495960,180077.359099,158944.061572
128,1063697.347847,895600.156384,736893.699896,435108.987464,136809.796627,123802.491586
512,383043.989560,370278.062922,328756.930850,277334.448374,82708.421306,71895.025343
16384,683336.517866,662375.347415,648794.712850,650322.108928,640083.105511,380097.264396
8,170581.244831,151682.095792,127704.500575,93247.939371,102987.906120,41656.161141
4096,799079.426960,707401.324660,697386.538309,673874.462325,628495.052868,157266.810510
65536,639016.643270,539715.829640,396434.799836,402995.414653,449997.578217,173549.413099
8192,902103.077632,806859.781200,855856.741195,850233.890875,740564.697667,149754.294890
32768,1104009.876849,1093785.990613,1095773.605364,1101168.421459,1092665.191752,170559.796743
32,498672.188793,436951.503651,378525.096000,258796.913511,132454.977706,58432.025012
256,849430.696115,735280.231954,685624.511367,545451.295137,518412.304154,123200.093600
4,612198.669655,513405.883926,384338.873980,281692.000811,189018.973172,64488.095801
1024,1019752.722380,907756.747672,814385.789528,694286.555793,583485.199028,123964.131401
